record_type,algorithm,order,value
compile_returncode,gramschmidt,7,0
compile_returncode,gramschmidt,8,0
compile_returncode,gramschmidt,9,0
run_returncode,gramschmidt,0,0
run_returncode,gramschmidt,1,0
run_returncode,gramschmidt,2,0
run_returncode,gramschmidt,3,0
run_returncode,gramschmidt,4,0
run_returncode,gramschmidt,5,0
run_returncode,gramschmidt,6,0
run_returncode,gramschmidt,7,0
run_returncode,gramschmidt,8,0
run_returncode,gramschmidt,9,0
compile_time,lu,0,7.915503
compile_time,lu,1,4.352136
compile_time,lu,2,3.043144
compile_time,lu,3,24.172233
compile_time,lu,4,2.849982
compile_time,lu,5,3.440473
compile_time,lu,6,2.902776
compile_time,lu,7,3.457785
compile_time,lu,8,22.958369
compile_time,lu,9,3.099193
run_time,lu,0,96.007717
run_time,lu,1,72.030263
run_time,lu,2,109.873236
run_time,lu,3,72.369911
run_time,lu,4,109.447966
run_time,lu,5,109.577172
run_time,lu,6,66.149851
run_time,lu,7,109.087157
run_time,lu,8,96.032347
run_time,lu,9,72.352633
compile_returncode,lu,0,0
compile_returncode,lu,1,0
compile_returncode,lu,2,0
compile_returncode,lu,3,0
compile_returncode,lu,4,0
compile_returncode,lu,5,0
compile_returncode,lu,6,0
compile_returncode,lu,7,0
compile_returncode,lu,8,0
compile_returncode,lu,9,0
run_returncode,lu,0,0
run_returncode,lu,1,0
run_returncode,lu,2,0
run_returncode,lu,3,0
run_returncode,lu,4,0
run_returncode,lu,5,0
run_returncode,lu,6,0
run_returncode,lu,7,0
run_returncode,lu,8,0
run_returncode,lu,9,0
compile_time,jacobi-2d,0,12.181454
compile_time,jacobi-2d,1,4.608494
compile_time,jacobi-2d,2,3.011458
compile_time,jacobi-2d,3,3.063688
compile_time,jacobi-2d,4,3.058612
compile_time,jacobi-2d,5,2.880192
compile_time,jacobi-2d,6,3.038213
compile_time,jacobi-2d,7,3.710483
compile_time,jacobi-2d,8,2.576164
compile_time,jacobi-2d,9,3.011507
run_time,jacobi-2d,0,44.499259
run_time,jacobi-2d,1,45.424986
run_time,jacobi-2d,2,48.229614
run_time,jacobi-2d,3,50.274248
run_time,jacobi-2d,4,47.563927
run_time,jacobi-2d,5,44.894629
run_time,jacobi-2d,6,42.432108
run_time,jacobi-2d,7,42.127394
run_time,jacobi-2d,8,31.137462
run_time,jacobi-2d,9,35.521785
compile_returncode,jacobi-2d,0,0
compile_returncode,jacobi-2d,1,0
compile_returncode,jacobi-2d,2,0
compile_returncode,jacobi-2d,3,0
compile_returncode,jacobi-2d,4,0
compile_returncode,jacobi-2d,5,0
compile_returncode,jacobi-2d,6,0
compile_returncode,jacobi-2d,7,0
compile_returncode,jacobi-2d,8,0
compile_returncode,jacobi-2d,9,0
run_returncode,jacobi-2d,0,0
run_returncode,jacobi-2d,1,0
run_returncode,jacobi-2d,2,0
run_returncode,jacobi-2d,3,0
run_returncode,jacobi-2d,4,0
run_returncode,jacobi-2d,5,0
run_returncode,jacobi-2d,6,0
run_returncode,jacobi-2d,7,0
run_returncode,jacobi-2d,8,0
run_returncode,jacobi-2d,9,0
compile_time,gemver,0,9.023058
compile_time,gemver,1,4.712339
compile_time,gemver,2,4.512834
compile_time,gemver,3,4.346101
compile_time,gemver,4,4.341611
compile_time,gemver,5,4.577838
compile_time,gemver,6,4.451165
compile_time,gemver,7,4.897325
compile_time,gemver,8,4.436795
compile_time,gemver,9,4.430810
run_time,gemver,0,0.144453
run_time,gemver,1,0.125798
run_time,gemver,2,0.127487
run_time,gemver,3,0.139402
run_time,gemver,4,0.141354
run_time,gemver,5,0.128610
run_time,gemver,6,0.136598
run_time,gemver,7,0.154846
run_time,gemver,8,0.127763
run_time,gemver,9,0.147540
